title,director,cast,country,date_added,release_year,listed_in,description,platform
underdog,['frederik du chau'],"['jason lee', ' amy adams', ' jim belushi', ' peter dinklage', ' patrick warburton', ' alex neuberger']",['united states'],"august 27, 2021",2007,"['action-adventure', ' family', ' parody']",a super-powered beagle tries to save capital city from a mad scientist.,disney_plus
dr. k's exotic animal er,[],"['dr. susan kelleher', ' art edmonds']",[],"august 25, 2021",2014,"['animals & nature', ' docuseries', ' family']",dedicated veterinarians treat a colorful array of exotic pets in south florida.,disney_plus
gigantosaurus,[],"['dylan schombing', ' áine sunderland', ' nahanni mitchell', ' nicholas holmes']",['france'],"august 25, 2021",2018,"['action-adventure', ' animation', ' kids']",four dinos explore the mystery of the gigantosaurus!,disney_plus
life below zero,[],['mocean melvin'],['united states'],"august 25, 2021",2020,"['action-adventure', ' animals & nature', ' docuseries']",the next generation of alaskans struggle to survive without modern-day comforts.,disney_plus
eragon,['stefen fangmeier'],"['ed speleers', ' jeremy irons', ' sienna guillory', ' robert carlyle', ' john malkovich', ' garrett hedlund']","['united states', ' united kingdom', ' hungary']","august 20, 2021",2006,"['action-adventure', ' family', ' fantasy']","in a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure.",disney_plus
growing up animal,[],['tracee ellis ross'],[],"august 18, 2021",2021,"['animals & nature', ' docuseries', ' family']",magical stories of baby animals on the journey from womb to the wild.,disney_plus
fantastic four,['tim story'],"['ioan gruffudd', ' jessica alba', ' chris evans', ' michael chiklis', ' julian mcmahon', ' kerry washington']","['united states', ' germany']","august 13, 2021",2005,"['action-adventure', ' family', ' science fiction']",four astronauts develop superpowers and must join forces to protect mankind from doom.,disney_plus
x,['bryan singer'],"['patrick stewart', ' hugh jackman', ' ian mckellen', ' halle berry', ' famke janssen', ' james marsden']",['united states'],"august 13, 2021",2000,"['action-adventure', ' family', ' science fiction']","the x-men, a small band of outcast mutants, fight to save a world that hates and fears them.",disney_plus
america's funniest home videos,[],['alfonso ribeiro'],[],"august 11, 2021",2021,['reality'],natgeo meets america’s funniest home videos in a hilarious new animal show,disney_plus
chicken squad,[],"['ramone hamilton', ' gabriella graves', ' maxwell simkins', ' yvette nicole brown']",['united states'],"august 11, 2021",2021,"['animation', ' kids', ' police/cop']",bagawk! say hello to the chicken squad.,disney_plus
disney presents goofy in how to stay at home,[],"['bill farmer', ' corey burton']",[],"august 11, 2021",2021,"['animation', ' comedy', ' family']","goofy’s back in a trio of all-new, hand-drawn animated shorts from walt disney animation studios.",disney_plus
gabby duran and the unsittables,[],"['kylie cantrall', ' maxwell donovan', ' callan farris', ' coco christo', ' valery ortiz', ' nathan lovejoy']",['united states'],"august 11, 2021",2018,"['comedy', ' family', ' science fiction']","meet gabby duran, your average alien-babysitting girl.",disney_plus
what if...?,[],[],[],"august 11, 2021",2021,"['action-adventure', ' animation', ' anthology']",“what if…?” flips the script on the mcu by reimagining events from the films in unexpected ways.,disney_plus
beverly hills chihuahua 2,['alex zamm'],"['george lopez', ' odette yustman', ' miguel ferrer', ' ernie hudson', ' loretta devine', ' jon huertas']",['united states'],"august 6, 2021",2011,"['action-adventure', ' comedy', ' family']","papi and chloe, those talking chihuahuas, are back... with a few surprises.",disney_plus
beverly hills chihuahua 3,['lev l. spiro'],"['george lopez', ' odette annable', ' ernie hudson', ' miguel ferrer', ' kay panabaker', ' tom kenny']",['united states'],"august 6, 2021",2012,"['comedy', ' coming of age', ' family']","papi plans a ""quince"" for the littlest member of his pack.",disney_plus
killer shark vs killer whale,[],['edward marcoux'],[],"august 6, 2021",2021,"['animals & nature', ' documentary']",orcas attack white sharks for their livers leaving scientists baffled.,disney_plus
mrs. doubtfire,['chris columbus'],"['robin williams', ' sally field', ' pierce brosnan', ' harvey fierstein', ' polly holliday', ' lisa jakub']",['united states'],"august 6, 2021",1993,"['comedy', ' drama']",an eccentric dad dresses as a british nanny so he can care for his kids at the home of their mother.,disney_plus
cesar millan,[],['dustin rubin'],[],"august 4, 2021",2021,"['animals & nature', ' docuseries', ' family']",renowned dog behaviorist cesar millan transforms dogs and pet parents.,disney_plus
walt disney animation studios,[],[],[],"august 4, 2021",2020,"['animation', ' anthology', ' family']",welcome to short circuit - an experimental short film program at disney animation.,disney_plus
built for mars,['mark j davis'],['steven french'],[],"july 30, 2021",2021,['documentary'],built for mars: the perseverance rover follows the birth of the perseverance rover.,disney_plus
garfield,['peter hewitt'],"['breckin meyer', ' jennifer love hewitt', ' stephen tobolowsky', ' bill murray', ' evan arnold', ' mark lawrence']",['united states'],"july 30, 2021",2004,"['comedy', ' family']","garfield lures odie out of the house but once he's lost, garfield springs into action to save him.",disney_plus
chip 'n' dale,[],"['matthew géczy', ' kaycie chase', ' bill farmer', ' sylvain caruso']",[],"july 28, 2021",2021,"['animation', ' buddy', ' comedy']",two tiny chipmunks have huge adventures while trying to live the good life in a big city park.,disney_plus
critter fixers,[],['sullivan jones'],['united states'],"july 28, 2021",2020,"['animals & nature', ' docuseries', ' family']",dr. hodges and dr. ferguson own and operate a bustling veterinary clinic.,disney_plus
disney junior t.o.t.s.,[],"['vanessa williams', ' megan hilty', ' jet jurgensmeyer', ' christian simon']",['united states'],"july 28, 2021",2018,"['animation', ' buddy', ' kids']",pip and freddy are new junior fliers at t.o.t.s.!,disney_plus
mickey mouse funhouse,[],"['bret iwan', ' kaitlyn robrock', ' bill farmer', ' tony anselmo', ' tress macneille', ' harvey guillén']",['united states'],"july 28, 2021",2021,"['animation', ' kids']",mickey mouse funhouse is filled with silly adventure!,disney_plus
minnie's bow,[],"['tress macneille', ' nika futterman', ' kaitlyn robrock']",[],"july 28, 2021",2021,"['animation', ' kids']",minnie and daisy open a party planning business!,disney_plus
turning the tables with robin roberts,[],['robin roberts'],[],"july 28, 2021",2021,['talk show'],robin roberts sits down with iconic hollywood women for intimate & inspirational conversations.,disney_plus
ice age,['carlos saldanha'],"['ray romano', ' john leguizamo', ' denis leary', ' seann william scott', ' josh peck', ' queen latifah']","['united states', ' united kingdom', ' australia']","july 23, 2021",2006,"['animation', ' comedy', ' family']","manny, sid, diego and scrat join forces with new friends to save the valley from an epic flood.",disney_plus
playing with sharks,[],"['valerie taylor', ' dr. sylvia earle', ' jeremiah sullivan', ' wendy benchley', ' jean michel cousteau', ' michele hall']",[],"july 23, 2021",2021,"['animals & nature', ' biographical', ' documentary']","""playing with sharks"" captures the life of conservationist valerie taylor.",disney_plus
shark vs. surfer,['phil stebbing'],['billy lloyd'],[],"july 23, 2021",2020,"['animals & nature', ' documentary']",shark vs. surfer visits shark-infested surf spots to relive the harrowing encounters.,disney_plus
shark vs. whale,[],['ted stewart'],[],"july 23, 2021",2020,"['animals & nature', ' documentary']",marine biologist ryan johnson discovers rare behavior of a whale attacking a great white.,disney_plus
stuntman,['kurt mattila'],['eddie braun'],[],"july 23, 2021",2021,['documentary'],stuntman eddie braun attempts to complete evel knievel's legendary snake river canyon rocket jump.,disney_plus
walking with dinosaurs,"['barry cook', ' neil nightingale']","['john leguizamo', ' justin long', ' tiya sircar', ' skyler stone', ' angourie rice', ' charlie rowe']",[],"july 23, 2021",2013,"['action-adventure', ' family', ' fantasy']",a young dinosaur named patchi must find his courage to lead the herd.,disney_plus
what the shark?,[],['robert davi'],[],"july 23, 2021",2020,"['animals & nature', ' documentary']",what the shark? dives deep into the environments where adaptation is critical to survival.,disney_plus
behind the attraction,[],['paget brewster'],[],"july 21, 2021",2021,"['docuseries', ' family']",behind the attraction takes you on a wild ride behind disney parks' most iconic attractions!,disney_plus
disney the owl house,[],"['sarah-nicole robles', ' wendie malick', ' alex hirsch', ' tati gabrielle', ' issac brown', ' mae whitman']","['united states', ' united kingdom']","july 21, 2021",2020,"['action-adventure', ' animation', ' anime']",luz stumbles upon a portal to a magical new world.,disney_plus
meet spidey and his amazing friends (shorts),[],"['ben valic', ' melanie minichino']",[],"july 21, 2021",2021,"['action-adventure', ' animation', ' kids']",meet the friends that help spidey save the day!,disney_plus
mission force one,[],"['justin felbinger', ' fiona bishop', ' ivy bishop', ' issac ryan brown', ' sam lavagnino', ' dee bradley baker']",[],"july 21, 2021",2017,"['action-adventure', ' animation', ' kids']",five kids form an elite team to protect the universe!,disney_plus
turner & hooch,[],"['josh peck', ' carra patterson', ' lyndsy fonseca', ' vanessa lengies', ' brandon jay mclaren', ' anthony ruivivar']",[],"july 21, 2021",2021,"['action-adventure', ' buddy', ' comedy']",a deputy marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.,disney_plus
most wanted sharks,[],[],[],"july 16, 2021",2020,"['animals & nature', ' documentary']","in most wanted sharks, jeremiah sullivan dives into the stories of shark all-stars.",disney_plus
secrets of the bull shark,[],['keston john'],[],"july 16, 2021",2020,"['animals & nature', ' documentary']",secrets of the bull shark unravels the mystery of some of the most dangerous predators.,disney_plus
shark attack files,[],[],[],"july 16, 2021",2021,"['animals & nature', ' docuseries', ' reality']",learn the truth behind the most dramatic shark attacks of our time.,disney_plus
shark attack investigation,[],[],[],"july 16, 2021",2021,"['animals & nature', ' documentary']",a teen survives facing one of the ocean’s deadliest predators.,disney_plus
sharkcano,['andy seestedt'],['dan nachtrab'],[],"july 16, 2021",2020,"['animals & nature', ' documentary']",dr. michael heithaus sets out to reveal the connection between sharks and volcanoes.,disney_plus
we bought a zoo,['cameron crowe'],"['matt damon', ' scarlett johansson', ' thomas haden church', ' patrick fugit', ' colin ford', ' elle fanning']",['united states'],"july 16, 2021",2011,"['animals & nature', ' drama', ' family']",a single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,disney_plus
world's biggest bullshark,[],['jason hildebrandt'],[],"july 16, 2021",2021,"['animals & nature', ' documentary']","how one of the largest bull sharks ever caught, grew to become a giant.",disney_plus
world's most dangerous shark?,['kevin bachar'],['brain cade'],[],"july 16, 2021",2021,"['animals & nature', ' documentary']",are oceanic white tips the most dangerous of all the sharks?,disney_plus
so random!,[],"['tiffany thornton', ' sterling knight', ' brandon mychal smith', ' doug brochu', ' allisyn ashley arm']",['united states'],"july 14, 2021",2011,"['comedy', ' coming of age']",a musical sketch comedy show.,disney_plus
flicka,['michael mayer'],"['alison lohman', ' tim mcgraw', ' maria bello', ' ryan kwanten', ' danny pino', ' dallas roberts']","['united states', ' united kingdom']","july 9, 2021",2006,"['animals & nature', ' coming of age', ' drama']",a 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,disney_plus
